code,name,metric,fy,basis,value,unit,source,as_of
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",eps,FY2026,consensus,134.48857,jpy,yfinance,2026-08-27
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",net_profit,FY2026,company,32000000000.0,jpy_abs,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",net_sales,FY2026,company,759000000000.0,jpy_abs,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",net_sales,FY2026,consensus,812000000000.0,jpy_abs,yfinance,2026-08-27
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",operating_profit,FY2026,company,50500000000.0,jpy_abs,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",dps,FY2027,company,52.0,jpy,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",eps,FY2027,company,129.88,jpy,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",eps,FY2027,consensus,145.37572,jpy,yfinance,2026-08-27
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",net_profit,FY2027,company,35000000000.0,jpy_abs,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",net_sales,FY2027,company,818000000000.0,jpy_abs,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",net_sales,FY2027,consensus,848571428570.0,jpy_abs,yfinance,2026-08-27
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",operating_profit,FY2027,company,59000000000.0,jpy_abs,jquants,2026-05-08
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",eps,FY2028,consensus,145.37572,jpy,yfinance,2026-08-27
1893,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",net_sales,FY2028,consensus,848571428570.0,jpy_abs,yfinance,2026-08-27
1911,"Sumitomo Forestry Co.,Ltd.",dps,FY2026,company,50.0,jpy,jquants,2026-05-07
1911,"Sumitomo Forestry Co.,Ltd.",eps,FY2026,company,155.09,jpy,jquants,2026-05-07
1911,"Sumitomo Forestry Co.,Ltd.",eps,FY2026,consensus,99.51,jpy,yfinance,2026-08-27
1911,"Sumitomo Forestry Co.,Ltd.",net_profit,FY2026,company,95000000000.0,jpy_abs,jquants,2026-05-07
1911,"Sumitomo Forestry Co.,Ltd.",net_sales,FY2026,company,2590000000000.0,jpy_abs,jquants,2026-05-07
1911,"Sumitomo Forestry Co.,Ltd.",net_sales,FY2026,consensus,2934533333330.0,jpy_abs,yfinance,2026-08-27
1911,"Sumitomo Forestry Co.,Ltd.",operating_profit,FY2026,company,157000000000.0,jpy_abs,jquants,2026-05-07
1911,"Sumitomo Forestry Co.,Ltd.",eps,FY2027,consensus,173.955,jpy,yfinance,2026-08-27
1911,"Sumitomo Forestry Co.,Ltd.",net_sales,FY2027,consensus,3200800000000.0,jpy_abs,yfinance,2026-08-27
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",dps,FY2026,company,175.0,jpy,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",eps,FY2026,company,468.6,jpy,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",eps,FY2026,consensus,444.25104,jpy,yfinance,2026-08-27
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",net_profit,FY2026,company,290000000000.0,jpy_abs,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",net_sales,FY2026,company,5600000000000.0,jpy_abs,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",net_sales,FY2026,consensus,5937238761240.0,jpy_abs,yfinance,2026-08-27
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",operating_profit,FY2026,company,510000000000.0,jpy_abs,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",dps,FY2027,company,45.0,jpy,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",eps,FY2027,company,183.26,jpy,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",eps,FY2027,consensus,511.9044,jpy,yfinance,2026-08-27
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",net_profit,FY2027,company,227000000000.0,jpy_abs,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",net_sales,FY2027,company,5800000000000.0,jpy_abs,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",net_sales,FY2027,consensus,6178845986970.0,jpy_abs,yfinance,2026-08-27
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",operating_profit,FY2027,company,400000000000.0,jpy_abs,jquants,2026-05-13
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",eps,FY2028,consensus,508.94107,jpy,yfinance,2026-08-27
1925,"DAIWA HOUSE INDUSTRY CO.,LTD.",net_sales,FY2028,consensus,6183519807660.0,jpy_abs,yfinance,2026-08-27
1928,"Sekisui House,Ltd.",dps,FY2027,company,145.0,jpy,jquants,2026-06-04
1928,"Sekisui House,Ltd.",eps,FY2027,company,336.3,jpy,jquants,2026-06-04
