code,name,fy,metric,first_value,first_as_of,latest_value,latest_as_of,revisions
167A,"Ryoyo Ryosan Holdings,Inc.",FY2025,net_profit,8000000000.0,2024-08-08,8000000000.0,2025-02-07,0
167A,"Ryoyo Ryosan Holdings,Inc.",FY2025,net_sales,415000000000.0,2024-08-08,370000000000.0,2025-02-07,1
167A,"Ryoyo Ryosan Holdings,Inc.",FY2025,operating_profit,13000000000.0,2024-08-08,8000000000.0,2025-02-07,1
167A,"Ryoyo Ryosan Holdings,Inc.",FY2025,ordinary_profit,11000000000.0,2024-08-08,7000000000.0,2025-02-07,1
167A,"Ryoyo Ryosan Holdings,Inc.",FY2026,dps,140.0,2025-05-14,140.0,2026-02-10,0
167A,"Ryoyo Ryosan Holdings,Inc.",FY2026,eps,149.75,2025-05-14,149.75,2026-02-10,0
167A,"Ryoyo Ryosan Holdings,Inc.",FY2026,net_profit,6000000000.0,2025-05-14,6000000000.0,2026-02-10,0
167A,"Ryoyo Ryosan Holdings,Inc.",FY2026,net_sales,380000000000.0,2025-05-14,370000000000.0,2026-02-10,1
167A,"Ryoyo Ryosan Holdings,Inc.",FY2026,operating_profit,9500000000.0,2025-05-14,9500000000.0,2026-02-10,0
167A,"Ryoyo Ryosan Holdings,Inc.",FY2026,ordinary_profit,8000000000.0,2025-05-14,8000000000.0,2026-02-10,0
167A,"Ryoyo Ryosan Holdings,Inc.",FY2027,dps,140.0,2026-05-14,140.0,2026-05-14,0
1719,HAZAMA ANDO CORPORATION,FY2025,dps,60.0,2024-08-07,70.0,2025-02-13,1
1719,HAZAMA ANDO CORPORATION,FY2025,eps,97.05,2024-08-07,135.93,2025-02-13,2
1719,HAZAMA ANDO CORPORATION,FY2025,net_profit,15200000000.0,2024-08-07,21300000000.0,2025-02-13,1
1719,HAZAMA ANDO CORPORATION,FY2025,net_sales,406200000000.0,2024-08-07,417100000000.0,2025-02-13,1
1719,HAZAMA ANDO CORPORATION,FY2025,operating_profit,22900000000.0,2024-08-07,27000000000.0,2025-02-13,1
1719,HAZAMA ANDO CORPORATION,FY2025,ordinary_profit,22100000000.0,2024-08-07,26500000000.0,2025-02-13,1
1719,HAZAMA ANDO CORPORATION,FY2026,dps,80.0,2025-05-14,80.0,2026-02-12,0
1719,HAZAMA ANDO CORPORATION,FY2026,eps,114.82,2025-05-14,129.45,2026-02-12,2
1719,HAZAMA ANDO CORPORATION,FY2026,net_profit,18000000000.0,2025-05-14,20300000000.0,2026-02-12,1
1719,HAZAMA ANDO CORPORATION,FY2026,net_sales,441000000000.0,2025-05-14,435000000000.0,2026-02-12,1
1719,HAZAMA ANDO CORPORATION,FY2026,operating_profit,27100000000.0,2025-05-14,29700000000.0,2026-02-12,1
1719,HAZAMA ANDO CORPORATION,FY2026,ordinary_profit,26500000000.0,2025-05-14,29000000000.0,2026-02-12,1
1719,HAZAMA ANDO CORPORATION,FY2027,dps,84.0,2026-05-14,84.0,2026-05-14,0
1719,HAZAMA ANDO CORPORATION,FY2027,eps,141.51,2026-05-14,141.51,2026-05-14,0
1719,HAZAMA ANDO CORPORATION,FY2027,net_profit,22200000000.0,2026-05-14,22200000000.0,2026-05-14,0
1719,HAZAMA ANDO CORPORATION,FY2027,net_sales,490000000000.0,2026-05-14,490000000000.0,2026-05-14,0
1719,HAZAMA ANDO CORPORATION,FY2027,operating_profit,34000000000.0,2026-05-14,34000000000.0,2026-05-14,0
1719,HAZAMA ANDO CORPORATION,FY2027,ordinary_profit,33600000000.0,2026-05-14,33600000000.0,2026-05-14,0
1720,"TOKYU CONSTRUCTION CO., LTD.",FY2025,dps,38.0,2024-08-07,38.0,2025-02-12,0
